# 缺失或无效Steam AppID的游戏清单
# 生成时间: 2026-07-25
# 总计: 153 个游戏

使命召唤：黑色行动3 | Call of Duty: Black Ops III | 旧appid: 311210
神秘海域 4：盗贼末路 | Uncharted 4: A Thief's End | 旧appid: None
毁灭战士 (2016) | DOOM (2016) | 旧appid: None
女神异闻录 5 (日版) | Persona 5 (JP) | 旧appid: None
血源诅咒 | Bloodborne | 旧appid: None
火箭联盟 | Rocket League | 旧appid: None
超级马力欧创作家 | Super Mario Maker | 旧appid: None
猎天使魔女 2 | Bayonetta 2 | 旧appid: None
马力欧赛车 8 (原版) | Mario Kart 8 (Wii U) | 旧appid: None
炉石传说 | Hearthstone | 旧appid: None
流放之路 1 | Path of Exile | 旧appid: None
雨中冒险 1 | Risk of Rain 1 | 旧appid: None
古墓丽影 9 (重启) | Tomb Raider (2013) | 旧appid: None
行尸走肉 第一季 | The Walking Dead (Season 1) | 旧appid: None
神秘海域 3：德雷克的诡计 | Uncharted 3: Drake's Deception | 旧appid: None
超级马力欧银河 2 | Super Mario Galaxy 2 | 旧appid: None
荒野大镖客：救赎 1 | Red Dead Redemption 1 | 旧appid: None
星际争霸 II：自由之翼 | StarCraft II: Wings of Liberty | 旧appid: None
神秘海域 2：纵横四海 | Uncharted 2: Among Thieves | 旧appid: None
死亡空间 1 | Dead Space 1 | 旧appid: None
超级马力欧银河 1 | Super Mario Galaxy 1 | 旧appid: None
生化奇兵 1 | BioShock 1 | 旧appid: None
巫师 1 | The Witcher 1 | 旧appid: None
孤岛危机 1 | Crysis 1 | 旧appid: None
魔兽世界 | World of Warcraft | 旧appid: None
暗爆破坏神 II：毁灭之王 | Diablo II: Lord of Destruction | 旧appid: None
任天堂明星大乱斗DX | Super Smash Bros. Melee | 旧appid: None
塞尔达传说：姆吉拉的假面 | The Legend of Zelda: Majora's Mask | 旧appid: None
模拟人生 1 | The Sims 1 | 旧appid: None
反恐精英 1.6 | Counter-Strike 1.6 | 旧appid: None
博德之门 II：安姆的阴影 | Baldur's Gate II: Shadows of Amn | 旧appid: None
放浪冒险谭 | Vagrant Story | 旧appid: None
帝国时代 II：帝王世纪 | Age of Empires II: The Age of Kings | 旧appid: None
塞尔达传说：时之笛 | The Legend of Zelda: Ocarina of Time | 旧appid: None
潜龙谍影 1 | Metal Gear Solid 1 | 旧appid: None
异度装甲 | Xenogears | 旧appid: None
侠盗猎车手 1 | Grand Theft Auto 1 | 旧appid: None
恶魔城：月下夜想曲 | Castlevania: Symphony of the Night | 旧appid: None
007 黄金眼 | GoldenEye 007 | 旧appid: None
超级马力欧 64 | Super Mario 64 | 旧appid: None
宝可梦 红/蓝 | Pokémon Red / Blue | 旧appid: None
暗黑破坏神 1 | Diablo 1 | 旧appid: None
超级马力欧耀西岛 | Super Mario World 2: Yoshi's Island | 旧appid: None
超级银河战士 | Super Metroid | 旧appid: None
毁灭战士 (1993) | DOOM (1993) | 旧appid: None
超级马力欧赛车 (初代) | Super Mario Kart | 旧appid: None
超级马力欧世界 | Super Mario World | 旧appid: None
塞尔达传说：众神的三角力量 | The Legend of Zelda: A Link to the Past | 旧appid: None
俄罗斯方块 (FC/GB版) | Tetris (1984/1989) | 旧appid: None
超级马力欧兄弟 3 | Super Mario Bros. 3 | 旧appid: None
超级马力欧兄弟 1 | Super Mario Bros. 1 | 旧appid: None
